year,sno,district,mandal,village,lat_gis,long_gis,gwl,season,pH,EC,TDS,CO3,HCO3,Cl,F,NO3,SO4,Na,K,Ca,Mg,TH,SAR,RSC_meq_L,Classification,Classification_drinking
2018,1,ADILABAD,Adilabad,Adilabad,19.6683,78.5247,5.09,postmonsoon 2018 ,8.28,745,476.8,0.0,220.0,60,0.44,42.27681818,46.0,49.0,4.0,48.0,38.896,279.9342105,1.273327902,-1.198684211,C2S1,P.S.
2018,2,ADILABAD,Bazarhatnur,Bazarhatnur,19.458888,78.350833,5.1,postmonsoon 2018 ,8.29,921,589.44,0.0,230.0,80,0.56,100.6590909,68.0,42.0,5.0,56.0,63.206,399.8930921,0.913165517,-3.397861842,C3S1,P.S.
2018,3,ADILABAD,Gudihatnoor,Gudihatnoor,19.525555,78.512222,4.98,postmonsoon 2018 ,7.69,510,326.4,0.0,200.0,30,0.66,41.47154545,44.0,45.0,2.0,24.0,38.896,219.9342105,1.319283964,-0.398684211,C2S1,P.S.
2018,4,ADILABAD,Jainath,Jainath,19.730555,78.64,5.75,postmonsoon 2018 ,8.09,422,270.08,0.0,160.0,10,0.58,10.66986364,35.0,27.0,1.0,32.0,19.448,159.9671053,0.928155164,0.000657895,C2S1,P.S.
2018,5,ADILABAD,Narnoor,Narnoor,19.495665,78.852654,2.15,postmonsoon 2018 ,8.21,2321,1485.44,0.0,300.0,340,2.56,128.8436364,280.0,298.0,5.0,56.0,92.378,519.84375,5.682664477,-4.396875,C4S2,P.S.
2018,6,ADILABAD,Neradigonda,Neradigonda,19.29375,78.41216,8.8,postmonsoon 2018 ,8.29,1030,659.2,0.0,340.0,60,0.61,66.435,43.0,73.0,22.0,80.0,34.034,339.9424342,1.72144176,0.001151316,C3S1,P.S.
2018,7,ADILABAD,Talamadugu,Talamadugu,19.6334,78.3969,3.95,postmonsoon 2018 ,7.62,2129,1362.56,0.0,340.0,330,0.65,193.2654545,143.0,162.0,13.0,88.0,126.412,739.7861842,2.589608252,-7.995723684,C3S1,P.S.
2018,8,ADILABAD,Tamsi,Tamsi,19.6811,78.4268,3.7,postmonsoon 2018 ,8.31,982,628.48,30.0,210.0,40,1.8,144.9490909,70.0,85.0,5.0,48.0,43.758,299.9259868,2.133949028,-1.198519737,C3S1,P.S.
2018,9,ADILABAD,Utnoor,Utnoor,19.3789,78.7685,3.12,postmonsoon 2018 ,8.22,2420,1548.8,0.0,420.0,290,0.53,134.8831818,268.0,321.0,6.0,48.0,97.24,519.8355263,6.121307804,-1.996710526,C4S2,P.S.
2018,10,BHADRADRI,Annapureddypalli,Annapureddypalli,17.354519,80.826104,15.6,postmonsoon 2018 ,8.05,250,160.0,0.0,57.63929176,30,0.07,24.3595,4.0,10.20021285,3.2,24.0,9.724,99.98355263,0.443523991,-0.846885217,C2S1,P.S.
2018,11,BHADRADRI,Ashwapuram,Aswapuram,17.841678,80.809241,5.59,postmonsoon 2018 ,7.97,1840,1177.6,0.0,207.8719019,380,0.59,159.444,37.0,150.3975766,1.9,64.0,106.964,599.8190789,2.669948378,-7.83894354,C3S1,P.S.
2018,12,BHADRADRI,Bhadrachalam,Bhadrachalam,17.666775,80.900922,5.36,postmonsoon 2018 ,7.93,1550,992.0,0.0,547.1956631,140,0.9,11.29395,13.0,190.9923317,6.0,24.0,72.93,359.8766447,4.377349903,3.746380368,C3S1,U.S.
2018,13,BHADRADRI,Burgampad,M.Banjara,17.6447,80.7911,6.02,postmonsoon 2018 ,8.5,1390,889.6,60.0,299.9504311,170,0.71,70.864,30.0,161.8440782,8.0,24.0,68.068,339.8848684,3.816832154,0.401311253,C3S1,P.S.
2018,14,BHADRADRI,Chandrugonda,Ravikampadu,17.3986,80.6106,11.75,postmonsoon 2018 ,8.0,2520,1612.8,0.0,240.9818024,280,0.63,735.214,18.0,235.1246184,17.0,24.0,165.308,739.7203947,3.758689678,-9.974771846,C4S1,P.S.
2018,15,BHADRADRI,Dummugudem,Bandirevu,17.92,80.92,2.68,postmonsoon 2018 ,8.66,869,556.16,40.0,249.5312086,90,1.03,7.9722,7.0,72.64980488,0.77,40.0,43.758,279.9259868,1.887926173,0.192104435,C3S1,P.S.
2018,16,BHADRADRI,Gundala,Kanchanapalli,17.79,80.42,1.6,postmonsoon 2018 ,8.24,782,500.48,0.0,114.2435835,60,0.29,219.2355,11.0,22.59306207,67.13,56.0,29.172,259.9506579,0.609258784,-2.914141488,C3S1,P.S.
2018,17,BHADRADRI,Julurpadu,P. Narsapuram,17.438169,80.520318,16.22,postmonsoon 2018 ,8.63,2880,1843.2,60.0,500.1277753,480,0.73,210.3775,18.25,326.4744644,19.5,32.0,155.584,719.7368421,5.290960448,-3.192181337,C4S2,P.S.
2018,18,BHADRADRI,Karakagudem,Karakagudem,18.034655,80.568147,2.58,postmonsoon 2018 ,7.18,490,313.6,0.0,177.4579446,40,1.11,0.4429,8.0,29.8891904,17.6,32.0,19.448,159.9671053,1.027474311,0.349816786,C2S1,P.S.
2018,19,BHADRADRI,Laxmidevipalli,Laxmidevipalli,17.573,80.619,4.34,postmonsoon 2018 ,7.84,1010,646.4,0.0,248.2682761,110,0.47,95.2235,19.0,81.68477438,9.8,72.0,34.034,319.9424342,1.985534124,-1.433483162,C3S1,P.S.
2018,20,BHADRADRI,Manuguru,Pagideru,17.97,80.73,3.59,postmonsoon 2018 ,8.93,460,294.4,40.0,142.3407799,30,0.47,0.8858,2.25,39.99707701,35.47,32.0,4.862,99.99177632,1.739074858,1.646980071,C2S1,MR
2018,21,BHADRADRI,Palwancha,REGELLA,17.95,80.58,4.22,postmonsoon 2018 ,7.79,1081,691.84,0.0,153.5363021,160,0.26,141.728,40.0,85.27975782,16.1,64.0,43.758,339.9259868,2.011064218,-3.727793695,C3S1,P.S.
2018,22,BHADRADRI,Tekulapalli,Bethampudi,17.56,80.45,2.75,postmonsoon 2018 ,8.02,2080,1331.2,0.0,208.1390606,360,0.49,335.2753,41.75,68.17983978,1.9,120.0,145.86,899.7532895,0.98824908,-13.83228458,C3S1,P.S.
2018,23,BHADRADRI,Tekulapalli,Mutyalampadu,17.54,80.5,5.38,postmonsoon 2018 ,8.57,1290,825.6,40.0,352.8490341,130,0.98,57.35555,15.5,193.8426385,7.9,40.0,29.172,219.9506579,5.682753839,3.457967525,C3S2,U.S.
2018,24,BHADRADRI,Yellandu,Komararam,17.71,80.32,4.36,postmonsoon 2018 ,8.84,991,634.24,60.0,242.0656571,110,1.5,18.136755,18.0,73.11603375,1.23,72.0,38.896,339.9342105,1.724198853,-0.757371069,C3S1,P.S.
2018,25,BHUPALPALLY,Ghanpur Mulug,Chelpur(D),18.368545,79.853503,4.53,postmonsoon 2018 ,8.02,421,269.44,0.0,110.0,20,0.27,3.422409091,57.0,27.0,2.0,24.0,19.448,139.9671053,0.992254181,-0.599342105,C2S1,P.S.
2018,26,BHUPALPALLY,Kataram,Shankarampally 125(D),18.6022,79.8983,20.82,postmonsoon 2018 ,7.71,404,258.56,0.0,110.0,40,0.36,22.145,14.0,16.0,4.0,24.0,24.31,159.9588816,0.550032013,-0.999177632,C2S1,P.S.
2018,27,BHUPALPALLY,Mahadevpur,Ambatipalli,18.695678,80.061858,21.57,postmonsoon 2018 ,8.1,368,235.52,0.0,110.0,30,0.14,29.99640909,14.0,22.0,3.0,32.0,14.586,139.9753289,0.808479657,-0.599506579,C2S1,P.S.
2018,28,BHUPALPALLY,Regonda,Regonda,18.24,79.7775,8.77,postmonsoon 2018 ,7.94,1452,929.28,0.0,260.0,190,1.04,121.3948636,88.0,156.0,1.0,48.0,63.206,379.8930921,3.479894391,-2.397861842,C3S1,P.S.
2018,29,HYDERABAD,Ameerpet,S.R.Nagar,17.442333,78.443916,17.95,postmonsoon 2018 ,7.07,819,524.16,0.0,274.9990597,60,1.56,37.42505,15.0,33.18059628,1.17,104.0,19.448,339.9671053,0.782416322,-1.299360911,C3S1,P.S.
2018,30,HYDERABAD,Asifnagar,Himayanagar,17.397638,78.44525,4.83,postmonsoon 2018 ,7.17,1149,735.36,0.0,215.6713142,220,2.49,22.167145,24.0,164.4849717,2.1,72.0,9.724,219.9835526,4.821734384,-0.086244769,C3S1,P.S.
2018,31,HYDERABAD,Asifnagar,Kulsanapur,17.374,78.437,6.18,postmonsoon 2018 ,7.26,1194,764.16,0.0,366.7292285,110,1.08,58.68425,21.0,101.9418385,16.74,96.0,29.172,359.9506579,2.336162993,0.135571412,C3S1,P.S.
2018,32,HYDERABAD,Bandlaguda,Chandraingutta,17.333,78.484,9.78,postmonsoon 2018 ,7.05,1445,924.8,0.0,398.6932882,170,0.841,52.7051,33.0,94.40207972,3.56,160.0,29.172,519.9506579,1.800000642,-2.425147394,C3S1,P.S.
2018,33,HYDERABAD,Charminar,Darul Shifa,17.381,78.485,5.65,postmonsoon 2018 ,7.58,779,498.56,0.0,275.0978692,60,0.794,10.164555,17.0,57.11590859,22.89,56.0,24.31,239.9588816,1.603100831,0.702779753,C3S1,P.S.
2018,34,HYDERABAD,Maredpally,Maredpally(s),17.441,78.509,,postmonsoon 2018 ,6.96,1379,882.56,0.0,316.4927306,160,1.6,118.6972,43.0,80.16061447,1.7,168.0,24.31,519.9588816,1.528441078,-4.069323019,C3S1,P.S.
2018,35,HYDERABAD,Nampally,Nampally,17.385,78.474,2.41,postmonsoon 2018 ,8.38,1231,787.84,40.0,346.3307385,120,1.23,38.31085,22.0,105.3718166,9.9,80.0,43.758,379.9259868,2.35042897,0.128095032,C3S1,P.S.
2018,36,HYDERABAD,Saidabad,Juvinile home,17.361,78.508,4.43,postmonsoon 2018 ,7.48,839,536.96,0.0,227.687161,90,0.835,52.04075,18.0,78.69718452,9.89,64.0,19.448,239.9671053,2.20879547,-0.245598886,C3S1,P.S.
2018,37,JAGITYAL,Dharmapuri,Dharmapuri,18.946944,79.101944,5.32,postmonsoon 2018 ,8.2,2227,1425.28,0.0,140.0,520,0.55,39.45836364,248.0,282.0,10.0,88.0,77.792,539.8684211,5.276881116,-7.997368421,C3S1,P.S.
2018,38,JAGITYAL,Gollapalli,Gollapalli,18.7906,79.0522,4.44,postmonsoon 2018 ,8.27,776,496.64,0.0,100.0,150,0.91,63.21390909,73.0,85.0,6.0,24.0,48.62,259.9177632,2.292308735,-3.198355263,C3S1,P.S.
2018,39,JAGITYAL,Ibrahimpatnam,Ibrahimpatnam,18.898611,78.579444,3.21,postmonsoon 2018 ,7.97,1140,729.6,0.0,190.0,110,1.53,77.30618182,148.0,135.0,7.0,40.0,38.896,259.9342105,3.640610452,-1.398684211,C3S1,P.S.
2018,40,JAGITYAL,Jagityal,Jagityal,18.8252,78.8461,9.19,postmonsoon 2018 ,7.99,624,399.36,0.0,100.0,100,0.27,45.09527273,68.0,92.0,1.0,24.0,19.448,139.9671053,3.381014248,-0.799342105,C2S1,P.S.
2018,41,JAGITYAL,Kathalapur,Kathalapur,18.752777,78.689722,7.57,postmonsoon 2018 ,7.92,1027,657.28,0.0,180.0,140,0.91,41.67286364,124.0,107.0,6.0,64.0,34.034,299.9424342,2.686191595,-2.398848684,C3S1,P.S.
2018,42,JAGITYAL,Kodimal,Chepial,18.624722,78.935833,10.35,postmonsoon 2018 ,8.07,564,360.96,0.0,140.0,50,0.49,5.234272727,60.0,70.0,2.0,40.0,19.448,179.9671053,2.268682068,-0.799342105,C2S1,P.S.
2018,43,JAGITYAL,Korutla,Korutla,18.818611,78.706388,6.08,postmonsoon 2018 ,8.21,1083,693.12,0.0,190.0,170,1.31,62.40863636,119.0,30.0,2.0,56.0,97.24,539.8355263,0.561387435,-6.996710526,C3S1,P.S.
2018,44,JAGITYAL,Mallapur,Mallapur,18.9647,78.7064,6.42,postmonsoon 2018 ,8.19,973,622.72,0.0,200.0,100,1.15,62.81127273,100.0,165.0,14.0,48.0,5.0,120.0,6.548856666,1.6,C3S1,MR
2018,45,JAGITYAL,Mallial,Nukapalli,18.7094,78.9222,8.53,postmonsoon 2018 ,8.33,1458,933.12,80.0,380.0,240,2.43,18.31995455,115.0,202.0,14.0,80.0,48.62,399.9177632,4.391755826,1.201644737,C3S1,P.S.
2018,46,JAGITYAL,Metpalli,Metpalli,18.847777,78.620555,13.53,postmonsoon 2018 ,8.12,1234,789.76,0.0,310.0,140,2.89,22.74895455,86.0,165.0,45.0,24.0,34.034,199.9424342,5.073452757,2.201151316,C3S1,MR
2018,47,JAGITYAL,Pegadapalli,Pegadapalli,18.706388,79.064444,3.47,postmonsoon 2018 ,8.17,1265,809.6,0.0,310.0,120,2.4,46.5045,41.0,200.0,13.0,24.0,38.896,219.9342105,5.863484282,1.801315789,C3S1,MR
2018,48,JAGITYAL,Raikal,Raikal,18.910338,78.802852,2.7,postmonsoon 2018 ,7.97,742,474.88,0.0,90.0,120,1.22,43.68604545,100.0,52.0,4.0,64.0,29.172,279.9506579,1.351247058,-3.799013158,C2S1,P.S.
2018,49,JAGITYAL,Sarangapur,Sarangapur,18.929722,78.958055,4.55,postmonsoon 2018 ,8.17,1087,695.68,0.0,140.0,150,2.25,82.54045455,122.0,112.0,2.0,56.0,38.896,299.9342105,2.811753112,-3.198684211,C3S1,P.S.
2018,50,JAGITYAL,Velgatur,Velgatur,18.8353,79.1697,3.95,postmonsoon 2018 ,8.34,1057,676.48,50.0,200.0,150,0.71,62.81127273,115.0,114.0,4.0,56.0,58.344,379.9013158,2.542972223,-2.598026316,C3S1,P.S.
2018,51,JANGAON,Bachannapet,Bachannapet,17.7908,79.0422,15.18,postmonsoon 2018 ,8.34,550,352.0,30.0,160.0,30,1.55,24.76213636,44.0,61.0,8.0,16.0,29.172,159.9506579,2.097050957,0.600986842,C2S1,P.S.
2018,52,JANGAON,Devaruppula,Singarajupalli,17.5919,79.2738,10.95,postmonsoon 2018 ,8.07,1664,1064.96,0.0,230.0,230,0.65,177.16,152.0,188.0,8.0,80.0,58.344,439.9013158,3.897197208,-4.198026316,C3S1,P.S.
2018,53,JANGAON,Jangaon,Jangaon,17.6973,79.1474,8.02,postmonsoon 2018 ,8.27,923,590.72,0.0,210.0,110,0.81,72.87718182,85.0,114.0,6.0,48.0,34.034,259.9424342,3.07424464,-0.998848684,C3S1,P.S.
